name,acronym,rank,source
International Symposium on Empirical Software Engineering and Measurement,ESEM,A,ICORE2026
European Symposium on Programming,ESOP,A,ICORE2026
European Symposium On Research In Computer Security,ESORICS,A,ICORE2026
IEEE European Symposium on Security and Privacy,EuroS&P,A,ICORE2026
Conference on File and Storage Technologies,FAST,A,ICORE2026
Financial Cryptography and Data Security Conference,FC,A,ICORE2026
Foundations of Genetic Algorithms,FOGA,A,ICORE2026
Genetic and Evolutionary Computations,GECCO,A,ICORE2026
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A,ICORE2026
ACM International Symposium on High Performance Distributed Computing,HPDC,A,ICORE2026
IEEE International Conference on Document Analysis and Recognition,ICDAR,A,ICORE2026
International Conference on Distributed Computing Systems,ICDCS,A,ICORE2026
International Conference on Database Theory,ICDT,A,ICORE2026
International Computing Education Research Workshop,ICER,A,ICORE2026
International Conference on Functional Programming,ICFP,A,ICORE2026
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,ICORE2026
International Conference on Multimedia Retrieval (previously MIR),ICMR,B,ICORE2026
International Conference on Network Protocols,ICNP,B,ICORE2026
International Conference on Neural Information Processing,ICONIP,B,ICORE2026
International Conference on Parallel and Distributed Systems,ICPADS,B,ICORE2026
ACM/SPEC International Conference on Performance Engineering,ICPE,B,ICORE2026
International Conference on Process Mining,ICPM,B,ICORE2026
International Conference on Parallel Processing,ICPP,B,ICORE2026
International Conference on Pattern Recognition,ICPR,B,ICORE2026
International Conference on Software Reuse,ICSR,B,ICORE2026
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B,ICORE2026
International Conference on Tools with Artificial Intelligence,ICTAI,B,ICORE2026
International Conference on Web Engineering,ICWE,B,ICORE2026
Intelligent Data Analysis,IDA,B,ICORE2026
Interaction Design and Children (ACM),IDC,B,ICORE2026
The International Conference on Intelligent Environments,IE,B,ICORE2026
IEEE Consumer Communications and Networking Conference,IEEE CCNC,B,ICORE2026
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,B,ICORE2026
Intelligent Vehicles Conference,IEEE-IV,B,ICORE2026
IFIP Information Security & Privacy Conference,IFIP SEC,B,ICORE2026
Integrated Formal Methods,IFM,B,ICORE2026
International Joint Conference on Biometrics,IJCB,B,ICORE2026
International Joint Conference on Natural Language Processing,IJCNLP,B,ICORE2026
IEEE International Joint Conference on Neural Networks,IJCNN,B,ICORE2026
Inductive Logic Programming,ILP,B,ICORE2026
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B,ICORE2026
International Natural Language Generation Conference,INLG,B,ICORE2026
IFIP TC13 Conference on Human-Computer Interaction,Interact,B,ICORE2026
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,ICORE2026
IEEE International Symposium on Information Theory,ISIT,B,ICORE2026
International Conference on Intelligent Tutoring Systems,ITS,B,ICORE2026
Information Theory Workshop,ITW,B,ICORE2026
Intelligent Virtual Agents,IVA,B,ICORE2026
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,ICORE2026
IEEE International Workshop on Quality of Service,IWQoS,B,ICORE2026
Knowledge capture,K-CAP,B,ICORE2026
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,ICORE2026
International Symposium on Latin American Theoretical Informatics,LATIN,B,ICORE2026
IEEE Conference on Local Computer Networks,LCN,B,ICORE2026
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,B,ICORE2026
Logic Programming and Automated Reasoning,LPAR,B,ICORE2026
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B,ICORE2026
Language Resources and Evaluation Conference,LREC,B,ICORE2026
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B,ICORE2026
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B,ICORE2026
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,ICORE2026
International Conference on Mobile Data Management,MDM,B,ICORE2026
International Conference on Mathematical Foundations of Programming Semantics,MFPS,B,ICORE2026
International Conference on Multimedia Modelling,MMM,B,ICORE2026
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B,ICORE2026
Mathematics of Program Construction,MPC,B,ICORE2026
Mobile and Ubiquitous Multimedia (ACM),MUM,B,ICORE2026
IEEE International Symposium on Network Computing and Applications,NCA,B,ICORE2026
International Conference on Network Softwarization,NetSoft,B,ICORE2026
IFIP International Conference on Networking,Networking,B,ICORE2026
IEEE Network Operations and Management Symposium,NOMS,B,ICORE2026
Network and Operating System Support for Digital Audio and Video,NOSSDAV,B,ICORE2026
International Conference on network and System Security,NSS,B,ICORE2026
International Conference on Principles of Distributed Systems,OPODIS,B,ICORE2026
International Conference on Parallel Architecture and Compilation Techniques,PACT,B,ICORE2026
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,ICORE2026
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,B,ICORE2026
Passive and Active Measurement Conference,PAM,B,ICORE2026
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,ICORE2026
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B,ICORE2026
IEEE International Conference on Cloud Computing,CLOUD,B,ICORE2026
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,ICORE2026
Annual Meeting of the Cognitive Science Society,CogSci,B,ICORE2026
International Conference on Computational Linguistics,COLING,B,ICORE2026
International Computer Software and Applications Conference,COMPSAC,B,ICORE2026
Conference on Computational Natural Language Learning,CoNLL,B,ICORE2026
International Conference on Cooperative Information Systems,CoopIS,B,ICORE2026
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,ICORE2026
Combinatorial Pattern Matching,CPM,B,ICORE2026
International Conference on Computer Supported Education,CSEDU,B,ICORE2026
Annual Conference on Computer Science Logic,CSL,B,ICORE2026
Cryptographers Track at RSA Conference,CT-RSA,B,ICORE2026
International Workshop on Document Analysis Systems,DAS,B,ICORE2026
Data Warehousing and Knowledge Discovery,DaWaK,B,ICORE2026
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B,ICORE2026
Data Compression Conference,DCC,B,ICORE2026
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B,ICORE2026
DNA Computing and Molecular Programming,DNA,B,ICORE2026
ACM Symposium on Document Engineering,DocEng,B,ICORE2026
Discovery Science,DS,B,ICORE2026
IEEE International Conference on Data Science and Advanced Analytics,DSAA,B,ICORE2026
IEEE International Conference on e-Science and Grid Computing,e-Science,B,ICORE2026
European Conference on Technology Enhanced Learning,EC-TEL,B,ICORE2026
European Conference on Modelling Foundations and Applications,ECMFA,B,ICORE2026
European Conference on Computer Supported Cooperative Work,ECSCW,B,ICORE2026
Educational Data Mining,EDM,B,ICORE2026
IEEE International Enterprise Distributed Object Computing Conference,EDOC,B,ICORE2026
International Conference on Knowledge Engineering and Knowledge Management,EKAW,B,ICORE2026
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,ICORE2026
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B,ICORE2026
European Symposium on Artificial Neural Networks,ESANN,B,ICORE2026
Eye Tracking Research and Applications,ETRA,B,ICORE2026
European Conference on Genetic Programming,EUROGP,B,ICORE2026
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B,ICORE2026
European SPI,EuroSPI,B,ICORE2026
Eurographics/IEEE Symposium on Visualization,EuroVis,B,ICORE2026
International Conference on Applications of Evolutionary Computation,EvoApplications,B,ICORE2026
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B,ICORE2026
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,B,ICORE2026
Fundamental Approaches to Software Engineering,FASE,B,ICORE2026
International Symposium on Fundamentals of Computation Theory,FCT,B,ICORE2026
IEEE International Conference on Automatic Face and Gesture Recognition,FG,B,ICORE2026
Formal Methods in Computer-Aided Design,FMCAD,B,ICORE2026
International Conference on Formal Structures for Computation and Deduction,FSCD,B,ICORE2026
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,B,ICORE2026
Graphics Interface,GI,B,ICORE2026
IEEE Global Telecommunications Conference,GLOBECOM,B,ICORE2026
International Conference on Generative Programming and Component Engineering,GPCE,B,ICORE2026
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,ICORE2026
Human-Agent Interaction,HAI,B,ICORE2026
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B,ICORE2026
International Conference on Agents and Artificial Intelligence,ICAART,B,ICORE2026
IEEE International Conference on Advanced Learning Technologies,ICALT,B,ICORE2026
International Conference on Computational Collective Intelligence,ICCCI,B,ICORE2026
International Conference on Computer Communication and Networks,ICCCN,B,ICORE2026
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B,ICORE2026
International Conference on Frontiers of Handwriting Recognition,ICFHR,B,ICORE2026
International Conference on Graph Transformations,ICGT,B,ICORE2026
IEEE International Conference on Image Processing,ICIP,B,ICORE2026
European Conference on Software Architecture,ECSA,B,ICORE2026
International Symposium on Algorithms and Computation,ISAAC,B,ICORE2026
International Conference on Logic Programming,ICLP,B,ICORE2026
Extending Database Technology,EDBT,B,ICORE2026
Advances in Financial Technologies,AFT,B,ICORE2026
Euromicro Conference on Real-Time Systems,ECRTS,B,ICORE2026
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B,ICORE2026
International Conference on Cloud Engineering,IC2E,B,ICORE2026
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,B,ICORE2026
International Symposium on Mathematical Foundations of Computer Science,MFCS,B,ICORE2026
ACM SIGIR Conference on Human Information Interaction And Retrieval,CHIIR,B,ICORE2026
Foundations of Software Science and Computational Structures,FOSSACS,B,ICORE2026
International Conference on AI Engineering – Software Engineering for AI,CAIN,B,ICORE2026
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B,ICORE2026
IEEE European Test Symposium,ETS,B,ICORE2026
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,B,ICORE2026
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,B,ICORE2026
International Symposium on Symbolic and Algebraic Computation,ISSAC,B,ICORE2026
IEEE International Conference on Smart Computing,SmartComp,B,ICORE2026
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,B,ICORE2026
Conference on Agile Software Development,XP,B,ICORE2026
Certified Programs and Proofs,CPP,B,ICORE2026
"Logics in Artificial Intelligence, European Conference",JELIA,B,ICORE2026
International Conference on Database Systems for Advanced Applications,DASFAA,B,ICORE2026
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,B,ICORE2026
IEEE International Conference on Computational Photography,ICCP,B,ICORE2026
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,ICORE2026
International Workshop on Fast Software Encryption,FSE,B,ICORE2026
The Symposium of Combinatorial Search,SoCS,B,ICORE2026
International Conference on Affective Computing and Intelligent,ACII,B,ICORE2026
ACM Virtual Reality Software and Technology,VRST,B,ICORE2026
IEEE International Conference on Robot and Human Interactive Communication,RO-MAN,B,ICORE2026
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B,ICORE2026
Creativity and Cognition,C&C,B,ICORE2026
International Conference on Concurrency Theory,CONCUR,B,ICORE2026
International Conference on Applied Cryptography and Network Security,ACNS,B,ICORE2026
International Conference on Cooperative and Human Aspects of Software Engineering,CHASE,B,ICORE2026
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,ICORE2026
International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications,Automotive_UI,B,ICORE2026
International Conference on Persuasive Technology,Persuasive,B,ICORE2026
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B,ICORE2026
IEEE International Symposium on Computer-Based Medical Systems,CBMS,B,ICORE2026
Asia and South Pacific Design Automation Conference,ASPDAC,B,ICORE2026
Field Programmable Logic and Applications,FPL,B,ICORE2026
ACM Symposium on Applied Perception,SAP,B,ICORE2026
ACM Conference on Learning @ Scale,L@S,B,ICORE2026
Algorithmic Learning Theory,ALT,B,ICORE2026
Conference on Integer Programming and Combinatorial Optimization,IPCO,B,ICORE2026
Theoretical Aspects of Rationality and Knowledge,TARK,B,ICORE2026
Theory of Cryptography Conference,TCC,B,ICORE2026
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,B,ICORE2026
Asian Conference on Computer Vision,ACCV,B,ICORE2026
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B,ICORE2026
Advanced Concepts for Intelligent Vision Systems,ACIVS,B,ICORE2026
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B,ICORE2026
International Conference on Artificial Intelligence in Medicine,AIME,B,ICORE2026
Advances in Modal Logic,AiML,B,ICORE2026
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B,ICORE2026
Asia-Pacific Bioinformatics Conference,APBC,B,ICORE2026
ASIAN Symposium on Programming Languages and Systems,APLAS,B,ICORE2026
"International Conference on Availability, Reliability and Security",ARES,B,ICORE2026
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,B,ICORE2026
International Symposium on Automated Technology for Verification and Analysis,ATVA,B,ICORE2026
Advanced Visual Interfaces,AVI,B,ICORE2026
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B,ICORE2026
IEEE International Conference on Big Data,BigData,B,ICORE2026
Conference on Algebra and Coalgebra in Computer Science,CALCO,B,ICORE2026
International Conference on Cryptology and Network Security,CANS,B,ICORE2026
Computer Algebra in Scientific Computing,CASC,B,ICORE2026
International Conference on Compiler Construction,CC,B,ICORE2026
IEEE Congress on Evolutionary Computation,CEC,B,ICORE2026
International Conference on Practice and Theory in Public Key Cryptography,PKC,B,ICORE2026
Principles and Practice of Parallel Programming,PPoPP,B,ICORE2026
Pacific Rim International Conference on Artificial Intelligence,PRICAI,B,ICORE2026
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B,ICORE2026
Product Focused Software Process Improvement,PROFES,B,ICORE2026
International Conference on Quality of Multimedia Experience,QoMEX,B,ICORE2026
International Conference on Research Challenges in Information Science,RCIS,B,ICORE2026
International Conference on Computational Molecular Biology,RECOMB,B,ICORE2026
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B,ICORE2026
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B,ICORE2026
International Joint Conference on Rules and Reasoning,RuleML+RR,B,ICORE2026
International Conference on Runtime Verification (was workshop pre 2010),RV,B,ICORE2026
Selected Areas in Cryptography,SAC,B,ICORE2026
"International Conference on Computer Safety, Reliability and Security",SAFECOMP,B,ICORE2026
International Symposium on Algorithmic Game Theory,SAGT,B,ICORE2026
Static Analysis Symposium,SAS,B,ICORE2026
International Symposium on Experimental Algorithms,SEA,B,ICORE2026
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B,ICORE2026
"IEEE International Conference on Sensing, Communication and Networking",SECON,B,ICORE2026
International Conference on Software Engineering and Formal Methods,SEFM,B,ICORE2026
IEEE Congress on Services,SERVICES,B,ICORE2026
Symposium on Geometry Processing,SGP,B,ICORE2026
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,ICORE2026
International Colloquium on Structural Information and Communication Complexity,SIROCCO,B,ICORE2026
International Conference on Similarity Search and Applications,SISAP,B,ICORE2026
International Conference on Software Language Engineering,SLE,B,ICORE2026
"IEEE Conference on Systems, Man and Cybernetics",SMC,B,ICORE2026
Current Trends in Theory and Practice of Computer Science,SOFSEM,B,ICORE2026
Symposium on Parallelism in Algorithms and Architectures,SPAA,B,ICORE2026
Software Product Lines Conference,SPLC,B,ICORE2026
Symposium on Reliable Distributed Systems,SRDS,B,ICORE2026
International Symposium on Search Based Software Engineering,SSBSE,B,ICORE2026
International Conference on Scientific and Statistical Data Base Management,SSDBM,B,ICORE2026
Structural and Syntactical Pattern Recognition,SSPR,B,ICORE2026
International Symposium on Spatial and Temporal Databases,SSTD,B,ICORE2026
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B,ICORE2026
International Conference on Technical Debt,TechDebt,B,ICORE2026
"Tangible, Embedded, and Embodied Interaction",TEI,B,ICORE2026
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,ICORE2026
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,ICORE2026
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,B,ICORE2026
International Conference on Virtual Execution Environments,VEE,B,ICORE2026
IEEE International Working Conference on Software Visualisation,VISSOFT,B,ICORE2026
