title,print_issn,e_issn,field,ajg_2024
International Journal of Accounting and Information Management,1834-7649,1758-9037,ACCOUNT,2
International Journal of Accounting Information Systems,1467-0895,1873-4723,ACCOUNT,2
"International Journal of Accounting, Auditing and Performance Evaluation",1740-8008,1740-8016,ACCOUNT,2
International Journal of Auditing,1090-6738,1099-1123,ACCOUNT,2
International Journal of Disclosure and Governance,1741-3591,1746-6539,ACCOUNT,2
International Journal of Managerial and Financial Accounting,1753-6715,1753-6723,ACCOUNT,2
Journal of Accounting and Organizational Change,1832-5912,1839-5473,ACCOUNT,2
Journal of Accounting in Emerging Economies,2042-1168,2042-1176,ACCOUNT,2
Quantitative Finance and Economics,,2573-0134,ECON,1
Quarterly Journal of Austrian Economics,1098-3708,1936-4806,ECON,1
Research in Economics,1090-9443,1090-9451,ECON,1
Research in Transportation Economics,0739-8859,1875-7979,ECON,1
Review of Austrian Economics,0889-3047,1573-7128,ECON,1
Review of Economic Analysis,,1973-3909,ECON,1
Review of Economics and Political Science,2356-9980,2631-3561,ECON,1
Review of Financial Economics,1058-3300,1873-5924,ECON,1
Review of Radical Political Economics,0486-6134,1552-8502,ECON,1
Russian Journal of Economics,2618-7213,2405-4739,ECON,1
SERIEs,1869-4187,1869-4195,ECON,1
South African Journal of Economic and Management Sciences,1015-8812,2222-3436,ECON,1
South African Journal of Economics,0038-2280,1813-6982,ECON,1
South Asia Economic Journal,1391-5614,0973-077X,ECON,1
Statistical Analysis and Data Mining,1932-1864,1932-1872,ECON,1
Strategic Behavior and the Environment,1944-012X,1944-0138,ECON,1
Studies in Agricultural Economics,1418-2106,2063-0476,ECON,1
Studies in Economics and Finance,1086-7376,1755-6791,ECON,1
Studies in Microeconomics,2321-0222,2321-8398,ECON,1
Swiss Journal of Economics and Statistics,,2235-6282,ECON,1
The Forum for Social Economics,0736-0932,1874-6381,ECON,1
The Journal of Retirement,2326-6899,2326-6902,ECON,1
Tijdschrift Voor Economische en Sociale Geografie,0040-747X,1467-9663,ECON,1
Entrepreneurship Theory and Practice,1042-2587,1540-6520,ENT-SBM,4*
Journal of Business Venturing,0883-9026,1873-2003,ENT-SBM,4*
Strategic Entrepreneurship Journal,1932-4391,1932-443X,ENT-SBM,4
Entrepreneurship and Regional Development,0898-5626,1464-5114,ENT-SBM,3
Family Business Review,0894-4865,1741-6248,ENT-SBM,3
International Journal of Entrepreneurial Behaviour and Research,1355-2554,1758-6534,ENT-SBM,3
International Small Business Journal,0266-2426,1741-2870,ENT-SBM,3
Journal of Small Business Management,0047-2778,1540-627X,ENT-SBM,3
Small Business Economics,0921-898X,1573-0913,ENT-SBM,3
Entrepreneurship Research Journal,2194-6175,2157-5665,ENT-SBM,2
International Journal of Entrepreneurship and Innovation,1465-7503,2043-6882,ENT-SBM,2
International Journal of Entrepreneurship and Small Business,1476-1297,1741-8054,ENT-SBM,2
International Review of Entrepreneurship ,1649-2269,2009-2822,ENT-SBM,2
Journal of Business Venturing Insights,2352-6734,2352-6734,ENT-SBM,2
Journal of Family Business Strategy,1877-8585,1877-8593,ENT-SBM,2
Journal of Research in Marketing and Entrepreneurship,1471-5201,1471-5201,ENT-SBM,2
Journal of Small Business and Enterprise Development,1462-6004,1462-6004,ENT-SBM,2
Journal of Social Entrepreneurship,1942-0676,1942-0684,ENT-SBM,2
Venture Capital,1369-1066,1464-5343,ENT-SBM,2
International Entrepreneurship and Management Journal,1554-7191,1555-1938,ENT-SBM,1
International Journal of Entrepreneurial Venturing,1742-5360,1742-5379,ENT-SBM,1
International Journal of Management and Enterprise Development,1468-4330,1741-8127,ENT-SBM,1
International Journal of Small and Medium Enterprises,2576-7712,2576-7720,ENT-SBM,1
Journal of Enterprising Communities,1750-6204,1750-6204,ENT-SBM,1
Journal of Enterprising Culture,0218-4958,1793-6330,ENT-SBM,1
Journal of Entrepreneurship,0971-3557,0973-0745,ENT-SBM,1
Journal of Entrepreneurship and Innovation in Emerging Economies,2393-9575,2394-9945,ENT-SBM,1
Journal of Entrepreneurship and Public Policy,2045-2101,2045-211X,ENT-SBM,1
Journal of Entrepreneurship in Emerging Economies,2053-4604,2053-4612,ENT-SBM,1
"Journal of Entrepreneurship, Management and Innovation",2299-7075,2299-7326,ENT-SBM,1
Journal of International Entrepreneurship,1570-7385,1573-7349,ENT-SBM,1
Journal of Small Business and Entrepreneurship,0827-6331,2169-2610,ENT-SBM,1
Small Business International Review,,2531-0046,ENT-SBM,1
Small Enterprise Research,1321-5906,1175-0979,ENT-SBM,1
Social Enterprise Journal,1750-8614,1750-8533,ENT-SBM,1
"World Review of Entrepreneurship, Management and Sustainable Development",1746-0573,1746-0581,ENT-SBM,1
Academy of Management Annals,1941-6520,1941-6067,ETHICS-CSR-MAN,4*
Academy of Management Journal,0001-4273,1948-0989,ETHICS-CSR-MAN,4*
Academy of Management Review,0363-7425,1930-3807,ETHICS-CSR-MAN,4*
Administrative Science Quarterly,0001-8392,1930-3815,ETHICS-CSR-MAN,4*
Journal of Management,0149-2063,1557-1211,ETHICS-CSR-MAN,4*
Academy of Management Perspectives,1558-9080,1943-4529,ETHICS-CSR-MAN,4
British Journal of Management,1045-3172,1467-8551,ETHICS-CSR-MAN,4
Journal of Management Studies,0022-2380,1467-6486,ETHICS-CSR-MAN,4
Academy of Management Discoveries ,,2168-1007,ETHICS-CSR-MAN,3
Business and Society,0007-6503,1552-4205,ETHICS-CSR-MAN,3
Business Ethics Quarterly,1052-150X,2153-3326,ETHICS-CSR-MAN,3
California Management Review,0008-1256,2162-8564,ETHICS-CSR-MAN,3
European Management Review,1740-4754,1740-4762,ETHICS-CSR-MAN,3
Gender and Society,0891-2432,1552-3977,ETHICS-CSR-MAN,3
"Gender, Work and Organization",0968-6673,1468-0432,ETHICS-CSR-MAN,3
Harvard Business Review,0017-8012,0017-8012,ETHICS-CSR-MAN,3
International Journal of Management Reviews,1460-8545,1468-2370,ETHICS-CSR-MAN,3
Journal of Business Ethics,0167-4544,1573-0697,ETHICS-CSR-MAN,3
Journal of Business Research,0148-2963,1873-7978,ETHICS-CSR-MAN,3
Journal of Management Inquiry,1056-4926,1552-6542,ETHICS-CSR-MAN,3
MIT Sloan Management Review,1532-9194,1532-8937,ETHICS-CSR-MAN,3
Africa Journal of Management,2332-2373,2332-2381,ETHICS-CSR-MAN,2
Australian Journal of Management,0312-8962,1327-2020,ETHICS-CSR-MAN,2
BRQ Business Research Quarterly,2340-9436,2340-9444,ETHICS-CSR-MAN,2
Business and Politics,1469-3569,1369-5258,ETHICS-CSR-MAN,2
"Business Ethics, the Environment and Responsibility",2694-6416,2694-6424,ETHICS-CSR-MAN,2
Business Horizons,0007-6813,1873-6068,ETHICS-CSR-MAN,2
Canadian Journal of Administrative Sciences,0825-0383,1936-4490,ETHICS-CSR-MAN,2
Competition and Change,1024-5294,1477-2221,ETHICS-CSR-MAN,2
"Equality, Diversity and Inclusion: an International Journal",2040-7149,2040-7149,ETHICS-CSR-MAN,2
Eurasian Business Review,1309-4297,2147-4281,ETHICS-CSR-MAN,2
European Business Review,0955-534X,1758-7107,ETHICS-CSR-MAN,2
European Journal of Women's Studies,1350-5068,1461-7420,ETHICS-CSR-MAN,2
European Management Journal,0263-2373,1873-5681,ETHICS-CSR-MAN,2
Feminist Economics,1354-5701,1466-4372,ETHICS-CSR-MAN,2
Feminist Review,0141-7789,1466-4380,ETHICS-CSR-MAN,2
Global Journal of Flexible Systems Management,0972-2696,0974-0198,ETHICS-CSR-MAN,2
IIM Kozhikode Society & Management Review,2277-9752,2321-029X,ETHICS-CSR-MAN,2
International Journal of Business Governance and Ethics,1477-9048,1741-802X,ETHICS-CSR-MAN,2
International Journal of Conflict Management,1044-4068,1758-8545,ETHICS-CSR-MAN,2
International Journal of Gender and Entrepreneurship,1756-6266,1756-6274,ETHICS-CSR-MAN,2
International Studies of Management and Organization,0020-8825,1558-0911,ETHICS-CSR-MAN,2
Journal of Intellectual Capital,1469-1930,1758-7468,ETHICS-CSR-MAN,2
Journal of Management and Organization,1833-3672,1839-3527,ETHICS-CSR-MAN,2
Management Decision,0025-1747,1758-6070,ETHICS-CSR-MAN,2
Management Revue,0935-9915,1861-9908,ETHICS-CSR-MAN,2
Review of Managerial Science,1863-6683,1863-6691,ETHICS-CSR-MAN,2
Scandinavian Journal of Management,0956-5221,1873-3387,ETHICS-CSR-MAN,2
Schmalenbach Journal of Business Research,0341-2687,2366-6153,ETHICS-CSR-MAN,2
Sex Roles,0360-0025,1573-2762,ETHICS-CSR-MAN,2
Signs,0097-9740,1545-6943,ETHICS-CSR-MAN,2
Acta Commercii ,2413-1903,1684-1999,ETHICS-CSR-MAN,1
American Journal of Business ,1935-5181,1935-5181,ETHICS-CSR-MAN,1
Annals of Work Exposures and Health,2398-7308,2398-7316,ETHICS-CSR-MAN,1
Asian Journal of Management Cases,0972-8201,0973-0621,ETHICS-CSR-MAN,1
Baltic Journal of Management,1746-5265,1746-5273,ETHICS-CSR-MAN,1
Business & Professional Ethics Journal,0277-2027,2153-7828,ETHICS-CSR-MAN,1
Business and Human Rights Journal,2057-0198,2057-0201,ETHICS-CSR-MAN,1
Business Perspectives and Research,2278-5337,2394-9937,ETHICS-CSR-MAN,1
CASE Journal,1544-9106,1544-9106,ETHICS-CSR-MAN,1
Cogent Business and Management,,2331-1975,ETHICS-CSR-MAN,1
Economic and Business Review,1580-0466,2335-4216,ETHICS-CSR-MAN,1
Emerald Emerging Markets Case Studies,,2045-0621,ETHICS-CSR-MAN,1
FIIB Business Review ,2319-7145,2455-2658,ETHICS-CSR-MAN,1
Gender in Management: An International Journal,1754-2413,1754-2421,ETHICS-CSR-MAN,1
Global Business Review,0972-1509,0973-0664,ETHICS-CSR-MAN,1
International Journal of Arts Management,1480-8986,1480-8986,ETHICS-CSR-MAN,1
International Journal of Business Competition and Growth,2042-3845,2042-3853,ETHICS-CSR-MAN,1
International Journal of Business Environment,1740-0589,1740-0597,ETHICS-CSR-MAN,1
International Journal of Business Excellence,1756-0047,1756-0055,ETHICS-CSR-MAN,1
International Journal of Contemporary Management,2449-8920,2449-8939,ETHICS-CSR-MAN,1
International Journal of Globalisation and Small Business,1479-3059,1479-3067,ETHICS-CSR-MAN,1
International Journal of Knowledge-Based Development,2040-4468,2040-4476,ETHICS-CSR-MAN,1
International Journal of Management and Decision Making,1462-4621,1741-5187,ETHICS-CSR-MAN,1
International Journal of Management Concepts and Philosophy,1478-1484,1741-8135,ETHICS-CSR-MAN,1
International Journal of Management Practice,1477-9064,1741-8143,ETHICS-CSR-MAN,1
"International Journal of Management, Economics and Social Sciences",,2304-1366,ETHICS-CSR-MAN,1
International Journal of Managing Projects in Business,1753-8378,1753-8386,ETHICS-CSR-MAN,1
Iranian Journal of Management Studies,2008-7055,2345-3745,ETHICS-CSR-MAN,1
Irish Journal of Management,,2451-2834,ETHICS-CSR-MAN,1
Journal for Global Business Advancement,1746-966X,1746-9678,ETHICS-CSR-MAN,1
Journal of Contemporary Administration ,1415-6555,1982-7849,ETHICS-CSR-MAN,1
Journal of Creating Value ,2394-9643,2454-213X,ETHICS-CSR-MAN,1
Journal of Family Business Management,2043-6238,2043-6246,ETHICS-CSR-MAN,1
Journal of General Management,0306-3070,1759-6106,ETHICS-CSR-MAN,1
Journal of Global Responsibility ,2041-2568,2041-2568,ETHICS-CSR-MAN,1
Journal of Human Values,0971-6858,0973-0737,ETHICS-CSR-MAN,1
Journal of Indian Business Research,1755-4195,1755-4209,ETHICS-CSR-MAN,1
Journal of Islamic Business & Management,2075-6291,2521-2249,ETHICS-CSR-MAN,1
Journal of Management and Governance,1385-3457,1572-963X,ETHICS-CSR-MAN,1
Journal of Management Sciences,2413-8657,2313-0113,ETHICS-CSR-MAN,1
"Journal of Management, Spirituality and Religion",1476-6086,1942-258X,ETHICS-CSR-MAN,1
Journal of Revenue and Pricing Management,1476-6930,1477-657X,ETHICS-CSR-MAN,1
Management,1331-0194,1846-3363,ETHICS-CSR-MAN,1
Management Research Review,2040-8269,2040-8277,ETHICS-CSR-MAN,1
Measuring Business Excellence,1368-3047,1758-8057,ETHICS-CSR-MAN,1
Metamorphosis- A Journal of Management Research ,0972-6225,2348-9324,ETHICS-CSR-MAN,1
Organization Management Journal,1541-6518,1541-6518,ETHICS-CSR-MAN,1
Policy and Practice in Health and Safety,1477-3996,1477-4003,ETHICS-CSR-MAN,1
Problems and Perspectives in Management,1727-7051,1810-5467,ETHICS-CSR-MAN,1
PSU Research Review: An International Interdisciplinary Journal,2399-1747,2398-4007,ETHICS-CSR-MAN,1
RAE Revista de Administracao de Empresas,0034-7590,2178-938X,ETHICS-CSR-MAN,1
RAUSP Management Journal,2531-0488,2531-0488,ETHICS-CSR-MAN,1
Safety and Reliability,0961-7353,2469-4126,ETHICS-CSR-MAN,1
Social Responsibility Journal,1747-1117,1758-857X,ETHICS-CSR-MAN,1
South Asian Journal of Business and Management Cases,2277-9779,2321-0303,ETHICS-CSR-MAN,1
South Asian Journal of Business Studies,2398-628X,2398-6298,ETHICS-CSR-MAN,1
Symphonya. Emerging Issues in Management,1593-0300,1593-0319,ETHICS-CSR-MAN,1
Vezetlstudomány | Budapest Management Review ,0133-0179,,ETHICS-CSR-MAN,1
Vikalpa,0256-0909,2395-3799,ETHICS-CSR-MAN,1
Vision,0972-2629,2249-5304,ETHICS-CSR-MAN,1
Journal of Finance,0022-1082,1540-6261,FINANCE,4*
Journal of Financial Economics,0304-405X,1879-2774,FINANCE,4*
Review of Financial Studies,0893-9454,1465-7368,FINANCE,4*
Journal of Corporate Finance,0929-1199,1872-6313,FINANCE,4
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,FINANCE,4
Journal of Financial Intermediation,1042-9573,1096-0473,FINANCE,4
"Journal of Money, Credit and Banking",0022-2879,1538-4616,FINANCE,4
Review of Finance,1572-3097,1573-692X,FINANCE,4
Annual Review of Financial Economics,1941-1367,1941-1375,FINANCE,3
Corporate Governance: An International Review,0964-8410,1467-8683,FINANCE,3
European Financial Management,1354-7798,1468-036X,FINANCE,3
European Journal of Finance,1351-847X,1466-4364,FINANCE,3
Finance and Stochastics,0949-2984,1432-1122,FINANCE,3
Financial Analysts Journal,0015-198X,1938-3312,FINANCE,3
Financial Management,0046-3892,1755-053X,FINANCE,3
"Financial Markets, Institutions and Instruments",0963-8008,1468-0416,FINANCE,3
Financial Review,0732-8516,1540-6288,FINANCE,3
Insurance: Mathematics and Economics,0167-6687,1873-5959,FINANCE,3
International Journal of Central Banking,1815-4654,1815-7556,FINANCE,3
International Journal of Finance and Economics,1076-9307,1099-1158,FINANCE,3
International Review of Financial Analysis,1057-5219,1873-8079,FINANCE,3
Journal of Banking and Finance,0378-4266,1872-6372,FINANCE,3
Journal of Commodity Markets,2405-8513,2405-8505,FINANCE,3
Journal of Empirical Finance,0927-5398,1879-1727,FINANCE,3
Journal of Financial Econometrics,1479-8409,1479-8417,FINANCE,3
Journal of Financial Markets,1386-4181,1878-576X,FINANCE,3
Journal of Financial Research,0270-2592,1475-6803,FINANCE,3
Journal of Financial Services Research,0920-8550,1573-0735,FINANCE,3
Journal of Financial Stability,1572-3089,1878-0962,FINANCE,3
Journal of Futures Markets,0270-7314,1096-9934,FINANCE,3
"Journal of International Financial Markets, Institutions and Money",1042-4431,1873-0612,FINANCE,3
Journal of International Money and Finance,0261-5606,1873-0639,FINANCE,3
Journal of Portfolio Management,0095-4918,2168-8656,FINANCE,3
Journal of Real Estate Finance and Economics,0895-5638,1573-045X,FINANCE,3
Journal of Risk and Insurance,0022-4367,1539-6975,FINANCE,3
Mathematical Finance,0960-1627,1467-9965,FINANCE,3
Quantitative Finance,1469-7688,1469-7696,FINANCE,3
Review of Asset Pricing Studies,2045-9920,2045-9939,FINANCE,3
Review of Corporate Finance Studies,2046-9128,2046-9136,FINANCE,3
Review of Quantitative Finance and Accounting,0924-865X,1573-7179,FINANCE,3
Annals of Corporate Governance,2381-6724,2381-6732,FINANCE,2
Annals of Finance,1614-2446,1614-2454,FINANCE,2
Applied Mathematical Finance,1350-486X,1466-4313,FINANCE,2
Asia-Pacific Financial Markets,1387-2834,1573-6946,FINANCE,2
ASTIN Bulletin,0515-0361,1783-1350,FINANCE,2
Corporate Governance (Bingley),1472-0701,1758-6054,FINANCE,2
Emerging Markets Finance and Trade,1540-496X,1558-0938,FINANCE,2
Emerging Markets Review,1566-0141,1873-6173,FINANCE,2
European Actuarial Journal,2190-9733,2190-9741,FINANCE,2
Finance Research Letters,1544-6123,1544-6131,FINANCE,2
Financial Innovation,,2199-4730,FINANCE,2
Financial Markets and Portfolio Management,1934-4554,2373-8529,FINANCE,2
Foundations and Trends in Finance,1567-2395,1567-2409,FINANCE,2
Geneva Papers on Risk and Insurance: Issues and Practice,1018-5895,1468-0440,FINANCE,2
Global Finance Journal,1044-0283,1873-5665,FINANCE,2
"International Journal of Banking, Accounting and Finance",1755-3830,1755-3849,FINANCE,2
International Journal of Managerial Finance,1743-9132,1758-6569,FINANCE,2
International Journal of Theoretical and Applied Finance,0219-0249,1793-6322,FINANCE,2
International Tax and Public Finance,0927-5940,1573-6970,FINANCE,2
Journal of Alternative Investments,1520-3255,2168-8435,FINANCE,2
Journal of Asset Management,1470-8272,1479-179X,FINANCE,2
Journal of Banking Regulation,1745-6452,1750-2071,FINANCE,2
Journal of Behavioral Finance,1542-7560,1542-7579,FINANCE,2
Journal of Derivatives,1074-1240,2168-8524,FINANCE,2
Journal of Economics and Business,0148-6195,1879-1735,FINANCE,2
Journal of Emerging Market Finance,0972-6527,0973-0710,FINANCE,2
Journal of Fixed Income,1059-8596,2168-8648,FINANCE,2
"Journal of Law, Finance, and Accounting",2380-5005,2380-5013,FINANCE,2
Journal of Multinational Financial Management,1042-444X,1873-1309,FINANCE,2
Journal of Operational Risk,1744-6740,1755-2710,FINANCE,2
Journal of Pension Economics and Finance,1474-7472,1475-3022,FINANCE,2
Journal of Risk,1465-1211,1755-2842,FINANCE,2
North American Actuarial Journal,1092-0277,2325-0453,FINANCE,2
Pacific Basin Finance Journal,0927-538X,1879-0585,FINANCE,2
Research in International Business and Finance,0275-5319,1878-3384,FINANCE,2
Review of Accounting and Finance,1475-7702,1758-7700,FINANCE,2
Review of Derivatives Research,1380-6645,1573-7144,FINANCE,2
Review of Development Finance,1879-9337,,FINANCE,2
SIAM Journal on Financial Mathematics,1945-497X,1945-497X,FINANCE,2
African Finance Journal,1605-9786,2959-0922,FINANCE,1
Agricultural Finance Review,0002-1466,2041-6326,FINANCE,1
Annals of Actuarial Science,1748-4995,1748-5002,FINANCE,1
Bancaria The Journal of the Italian Banking Association,,2499-4472,FINANCE,1
Banks and Bank Systems,1816-7403,1991-7074,FINANCE,1
British Actuarial Journal,1357-3217,2044-0456,FINANCE,1
China Finance Review International,2044-1398,2044-1401,FINANCE,1
Critical Finance Review,2164-5744,2164-5760,FINANCE,1
Finance,0752-6180,2101-0145,FINANCE,1
Financial Services Review,1873-5673,1057-0810,FINANCE,1
Insurance Markets and Companies,2616-3551,2522-9591,FINANCE,1
"Intelligent Systems in Accounting, Finance and Management",1550-1949,2160-0074,FINANCE,1
International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,1753-8408,FINANCE,1
Investment Analysts Journal,1029-3523,2077-0227,FINANCE,1
Investment Management and Financial Innovations,1810-4967,1812-9358,FINANCE,1
Journal of Applied Corporate Finance,1078-1196,1745-6622,FINANCE,1
Journal of Behavioral and Experimental Finance,2214-6350,2214-6369,FINANCE,1
Journal of Capital Markets Studies,2514-4774,2514-4774,FINANCE,1
Journal of Computational Finance,1460-1559,1755-2850,FINANCE,1
Journal of Credit Risk,1744-6619,1755-9723,FINANCE,1
Journal of Economics and Finance,1055-0925,1938-9744,FINANCE,1
"Journal of Economics, Finance and Administrative Science",2077-1886,2218-0648,FINANCE,1
Journal of Energy Markets,1756-3607,1756-3615,FINANCE,1
Journal of Financial Economic Policy,1757-6385,1757-6393,FINANCE,1
"Journal of Financial Management, Markets and Institutions",,2282-717X,FINANCE,1
Journal of Financial Market Infrastructures,2049-5404,2049-5412,FINANCE,1
Journal of Financial Regulation and Compliance,1358-1988,1740-0279,FINANCE,1
Journal of Financial Reporting and Accounting,1985-2517,2042-5856,FINANCE,1
Journal of Investment Strategies,2047-1238,2047-1246,FINANCE,1
Journal of Prediction Markets,1750-6751,1750-676X,FINANCE,1
Journal of Property Investment and Finance,1463-578X,1470-2002,FINANCE,1
Journal of Risk Finance,0965-7967,1526-5943,FINANCE,1
Journal of Risk Model Validation,1753-9579,1753-9587,FINANCE,1
Journal of Sustainable Finance and Investment,2043-0795,2043-0809,FINANCE,1
Managerial Finance,0307-4358,1758-7743,FINANCE,1
Multinational Finance Journal,1096-1879,,FINANCE,1
Public and Municipal Finance,2222-1867,2222-1875,FINANCE,1
Qualitative Research in Financial Markets,1755-4179,1755-4187,FINANCE,1
Quarterly Journal of Finance,2010-1392,2010-1406,FINANCE,1
Quarterly Journal of Finance and Accounting (QJFA),1939-8123,2327-8250,FINANCE,1
Review of Behavioral Finance,1940-5979,1940-5987,FINANCE,1
Scandinavian Actuarial Journal,0346-1238,1651-2030,FINANCE,1
The Journal of Beta Investment Strategies,2771-6511,2771-6511,FINANCE,1
The Journal of Financial Data Science,2640-3943,2640-3951,FINANCE,1
The Journal of Investing,1068-0896,2168-8613,FINANCE,1
The Journal of Structured Finance,1551-9783,2374-1325,FINANCE,1
The Journal of Wealth Management,1534-7524,2374-1368,FINANCE,1
Human Resource Management Journal (UK),0954-5395,1748-8583,HRM&EMP,4*
British Journal of Industrial Relations,0007-1080,1467-8543,HRM&EMP,4
Human Resource Management (USA),0090-4848,1099-050X,HRM&EMP,4
Industrial Relations,0019-8676,1468-232X,HRM&EMP,4
"Work, Employment and Society",0950-0170,1469-8722,HRM&EMP,4
Economic and Industrial Democracy,0143-831X,1461-7099,HRM&EMP,3
European Journal of Industrial Relations,0959-6801,1461-7129,HRM&EMP,3
Human Resource Management Review,1053-4822,1873-7889,HRM&EMP,3
ILR Review,0019-7939,2162-271X,HRM&EMP,3
Industrial Law Journal,0305-9332,1464-3669,HRM&EMP,3
Industrial Relations Journal,0019-8692,1468-2338,HRM&EMP,3
International Journal of Human Resource Management,0958-5192,1466-4399,HRM&EMP,3
"New Technology, Work and Employment",0268-1072,1468-005X,HRM&EMP,3
Work and Occupations,0730-8884,1552-8464,HRM&EMP,3
Asia Pacific Journal of Human Resources,1038-4111,1744-7941,HRM&EMP,2
Career Development International,1362-0436,1758-6003,HRM&EMP,2
Career Development Quarterly,0889-4019,2161-0045,HRM&EMP,2
Employee Relations,0142-5455,1758-7069,HRM&EMP,2
Employee Responsibilities and Rights Journal,0892-7545,1573-3378,HRM&EMP,2
Human Resource Development International,1367-8868,1469-8374,HRM&EMP,2
Human Resource Development Quarterly,1044-8004,1532-1096,HRM&EMP,2
Human Resource Development Review,1552-6712,1552-6712,HRM&EMP,2
Industrielle Beziehungen,0943-2779,1862-0035,HRM&EMP,2
International Journal of Manpower,0143-7720,1758-6577,HRM&EMP,2
International Journal of Training and Development,1360-3736,1468-2419,HRM&EMP,2
International Labour Review,0020-7780,1564-913X,HRM&EMP,2
Journal of Global Mobility,2049-8799,2049-8802,HRM&EMP,2
Journal of Industrial Relations,0022-1856,1472-9296,HRM&EMP,2
Journal of Labor Research,0195-3613,1936-4768,HRM&EMP,2
Journal of Organizational Effectiveness,2051-6614,2051-6622,HRM&EMP,2
Journal of Participation and Employee Ownership,2514-7641,2514-7641,HRM&EMP,2
Labor Studies Journal,0160-449X,1538-9758,HRM&EMP,2
Labour and Industry: a journal of social and economic relations of work,1030-1763,2325-5676,HRM&EMP,2
Personnel Review,0048-3486,1758-6933,HRM&EMP,2
Relations Industrielles/Industrial Relations,0034-379X,1703-8138,HRM&EMP,2
Sociologie du Travail,0038-0296,1777-5701,HRM&EMP,2
Transfer,1024-2589,1996-7284,HRM&EMP,2
Work in the Global Economy,,2732-4176,HRM&EMP,2
"Work, Aging and Retirement",,2054-4650,HRM&EMP,2
Zeitschrift für Personalforschung (German Journal of Research in Human Resource Management),2397-0022,2397-0030,HRM&EMP,2
Advances in Industrial and Labor Relations,0742-6186,2514-3964,HRM&EMP,1
African Journal of Employee Relations,,2664-3731,HRM&EMP,1
Australian Journal of Labour Economics,1328-1143,2981-9490,HRM&EMP,1
Economic and Labour Relations Review,1035-3046,1838-2673,HRM&EMP,1
Evidence-based HRM,2049-3983,2049-3991,HRM&EMP,1
Indian Journal of Labour Economics,0971-7927,0019-5308,HRM&EMP,1
Industrial and Commercial Training,0019-7858,0019-7858,HRM&EMP,1
International Journal of Comparative Labour Law and Industrial Relations,0952-617X,1875-838X,HRM&EMP,1
International Journal of Employment Studies,1039-6993,1839-5945,HRM&EMP,1
International Journal of Learning and Intellectual Capital,1479-4853,1479-4861,HRM&EMP,1
Journal of Work-Applied Management,2205-2062,2205-149X,HRM&EMP,1
